,0
ЖКХа общие фразы (2155_29),97.0
"Личные установки и ценности, мировоззрение (2043_4)",92.0
ЖКХа ремонт электрооборудования (2558_29),67.0
ЖКХа техническое обслуживание электротехнического оборудования (2792_29),61.0
Выполнение ремонтных работ (ОПТ) (8285_36),46.0
"Ответственность , добросовестность (СК) (614_4)",34.0
ЖКХ общепрофессиональные знания по электрике (2153_29),31.0
Дисциплинированность (СК) (593_4),26.0
"ЖКХа Заземление и зануление, проверка изоляции (2658_29)",21.0
ЖКХа Техническое обслуживание электрических машин (4101_29),21.0
ЖКХа монтаж электро оборудования (2503_29),18.0
ЖКХа техническое обслуживание электрической части (2669_29),16.0
ЖКХа Умение читать электрические схемы (3681_29),12.0
ЖКХа общие фразы по обслуживанию и ремонту узлов/оборудования (3803_29),9.0
Внимательность (СК) (536_4),6.0
"ЖКХа Сборка, обслуживание и ремонт узлов электрических сетей и оборудования (2151_29)",6.0
Аккуратность (СК) (575_4),3.0
"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",3.0
Пунктуальность (СК) (612_4),2.0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),2.0
ЖКХа Контроль за работой оборудования (3901_29),1.0
