,0
"Личные установки и ценности, мировоззрение (2043_4)",8.0
Использование контрольно-измерительных инструментов (3479_35),5.0
Контроль и приемка продукции (4586_35),2.0
Контроль качества изделий (3466_35),1.0
"Приемка деталей, узлов, изделий (4612_35)",1.0
"Приемка деталей, узлов, изделий после механической и слесарной обработки (4611_35)",1.0
"Ответственность , добросовестность (СК) (614_4)",1.0
"Виды, устройство и назначение контрольно-измерительных инструментов и приборов (3482_35)",0.0
Коммуникабельность (СК) (617_4),0.0
Знать систему допусков и посадок (3462_35),0.0
Ведение учета (4195_35),0.0
Правила настройки и регулирования контрольно-измерительного инструмента (3480_35),0.0
Знать правила расчета координатных точек (8283_35),0.0
"Контроль качества материалов, полуфабрикатов и комплектующих (4599_35)",0.0
Дисциплинированность (СК) (593_4),0.0
Проверка взаимного положения сопрягаемых деталей (4969_35),0.0
"Оформление сопроводительной документации по качеству, протоколов, сертификатов (4559_35)",0.0
Порядок настройки и регулирования контрольно-измерительных инструментов и приборов (3481_35),0.0
