,0
Ведение делопроизводства (2047_33),4.0
Владение ПК и оргтехникой (2686_33),4.0
"Организация командировок сотрудников, руководителя и сопровождающих его лиц. Travel-поддержка (2252_33)",1.0
Выполнение поручений руководителя (ОПТ) (3036_36),1.0
"Выполнение поставленных задач, приказов, распоряжений и поручений руководителя (1994_33)",1.0
"Встречи и переговоры: планирование, организация, координация, сопровождение, участие в проведении встреч и переговоров (3079_33)",1.0
Внимательность (СК) (536_4),0.0
"Обеспечение и контроль исполнения поручений руководителя, сроков выполнения указаний/ распоряжений/ поручений и приказов (2251_33)",0.0
"Знание ПК, различных операционных систем, офисных программ (2286_33)",0.0
Ведение делопроизводства (2455_33),0.0
"Работа с документами: подготовка, прием/отправка, печать, сканирование (1976_33)",0.0
Английский язык (ЯС) (1918_32),0.0
"Работа с входящей и исходящей корреспонденцией: отправка, доставка (3597_33)",0.0
"Личные установки и ценности, мировоззрение (2043_4)",0.0
Дисциплинированность (СК) (593_4),0.0
Стрессоустойчивость (СК) (601_4),0.0
Пунктуальность (СК) (612_4),0.0
Доброжелательность (СК) (1126_4),0.0
"Ответственность , добросовестность (СК) (614_4)",0.0
Командность (СК) (1371_4),0.0
Грамотность (СК) (1368_4),0.0
"Организаторские способности, лидерство (СК) (393_4)",0.0
Коммуникабельность (СК) (617_4),0.0
"Саморазвитие, обучаемость (СК) (604_4)",0.0
Аккуратность (СК) (575_4),0.0
