,0
"Личные установки и ценности, мировоззрение (2043_4)",85.0
Высокая работоспособность (СК) (586_4),24.0
"Ответственность , добросовестность (СК) (614_4)",22.0
Дисциплинированность (СК) (593_4),12.0
Нравственность (СК) (622_4),8.0
Укладка плитки (250_10),7.0
Аккуратность (СК) (575_4),6.0
Командность (СК) (1371_4),6.0
Выполнение штукатурки (456_10),6.0
Штукатурка (713_10),5.0
Пунктуальность (СК) (612_4),4.0
Трудолюбие (СК) (597_4),3.0
Выполнение ремонтных работ (ОПТ) (8285_36),3.0
Коммуникабельность (СК) (617_4),1.0
Ремонт штукатурки (357_10),1.0
Приготовление штукатурных растворов и смесей (448_10),0.0
