,0
"Ответственность , добросовестность (СК) (614_4)",482.0
Дисциплинированность (СК) (593_4),394.0
"Личные установки и ценности, мировоззрение (2043_4)",246.0
Пунктуальность (СК) (612_4),82.0
Обслуживание и ремонт автогрейдера (5753_10),65.0
Командность (СК) (1371_4),64.0
Коммуникабельность (СК) (617_4),55.0
Умение управлять автогрейдером (5389_10),44.0
Выполнение ремонтных работ (ОПТ) (8285_36),39.0
Высокая работоспособность (СК) (586_4),37.0
Соблюдение правил охраны труда (ОПТ) (3790_36),36.0
Умение проводить техническое обслуживание автогрейдера (5744_10),29.0
Планировочные работы при помощи автогрейдера (5378_10),28.0
Знание технического устройства автогрейдера (5757_10),27.0
Аккуратность (СК) (575_4),23.0
Содержание техники в исправном состоянии (4981_10),22.0
Внимательность (СК) (536_4),19.0
Очистка дорожного полотна (5376_10),18.0
Заправка автогрейдера ГСМ (5742_10),17.0
Планировочные дорожные работы (3133_10),16.0
Соблюдение требований техники безопасности и правил эксплуатации (4980_10),15.0
Нравственность (СК) (622_4),15.0
Срезка грунта (5046_10),15.0
Очистка дорожного полотна и территорий (5913_10),12.0
Умение проводить техническое обслуживание техники (5745_10),9.0
Стрессоустойчивость (СК) (601_4),9.0
Выполнение механизированных работ автогрейдером (6004_10),8.0
Выполнение работ на строительных площадках (4996_10),6.0
Знание правил ОТ и ПБ (6013_10),5.0
Планировочные работы (5021_10),5.0
Сооружение насыпей (3141_10),5.0
Умение устранять неисправности (3345_10),4.0
Профилирование дорог (5381_10),3.0
Выполнение работ автогрейдером ДЗ-98 (5809_10),3.0
Обслуживание технологических дорог (5748_10),0.0
ТО и Р техники (6134_10),0.0
