,0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),17.0
"Личные установки и ценности, мировоззрение (2043_4)",9.0
"Ответственность , добросовестность (СК) (614_4)",6.0
Дисциплинированность (СК) (593_4),6.0
"Организаторские способности, лидерство (СК) (393_4)",5.0
"Саморазвитие, обучаемость (СК) (604_4)",3.0
Коммуникабельность (СК) (617_4),3.0
Стрессоустойчивость (СК) (601_4),2.0
Чтение схем/чертежей (ОПТ) (3032_36),2.0
Выдача нарядов на строительные и монтажные работы и приемка законченных строительных и монтажных работ (5582_10),2.0
"Знание ГОСТов, СНиПов, СП (1406_10)",2.0
Пунктуальность (СК) (612_4),2.0
Знание действующих нормативно-технических документов в строительстве (4256_10),2.0
Знания SCAD (5251_10),2.0
Навык составления смет (5556_10),2.0
Командность (СК) (1371_4),2.0
Соблюдение правил охраны труда (ОПТ) (3790_36),1.0
Ведение исполнительной документации в строительстве (2958_10),1.0
Самостоятельность (СК) (603_4),1.0
навыки  в области строительства (6220_10),1.0
Контроль за соблюдением работниками  правил охраны труда и техники безопасности при выполнении строительных и монтажных работ (5577_10),1.0
Целеустремленность (СК) (588_4),1.0
Аккуратность (СК) (575_4),1.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",0.0
Контроль соблюдения технологической последовательности производства строительных работ (4118_10),0.0
Знание компьютерных офисных программ (строительство) (4252_10),0.0
Внимательность (СК) (536_4),0.0
Знание технологии производства строительных и монтажных работ (4120_10),0.0
Руководство работниками участка производства строительных работ (5576_10),0.0
Выполнение плана строительно-монтажных работ (2955_10),0.0
Планирование и организация материально-технического обеспечения строительства (4249_10),0.0
"Многозадачность, интенсивность (СК) (627_4)",0.0
"Оформление документов по учету рабочего времени, выработки, простоев работников при выполнении общестроительных работ (4121_10)",0.0
"Организация приемки строительных материалов, конструкций, изделий, их складирование, учет и отчетность (4242_10)",0.0
Геодезический контроль в ходе выполнения технологических операций (4115_10),0.0
Умение пользоваться геодезическими инструментами (4117_10),0.0
Высокая работоспособность (СК) (586_4),0.0
Контроль выполнения работ (7013_10),0.0
Контроль соблюдения технологической последовательности при выполнении вида строительных работ (2960_10),0.0
"Обеспечение строительных бригад и отдельных работников инструментом, приспособлениями, средствами малой механизации, транспортом, спецодеждой, защитными средствами (5586_10)",0.0
Контроль выполнения строительно-монтажных работ (2954_10),0.0
"Работа с технической документации, чтение проектов, чертежей, схем (строительство) (2957_10)",0.0
Знание технологии производства (7190_10),0.0
Трудолюбие (СК) (597_4),0.0
Проведение производственного инструктажа и ведение журнала учета инструктажа и техники безопасности работников (5584_10),0.0
"Обеспечение рационального использования на участке строительных машин, оборудования и транспортных средств (4123_10)",0.0
"Производит расстановку бригад, звеньев и отдельных работников на строительном участке (5590_10)",0.0
