,0
Чтение схем/чертежей (ОПТ) (3032_36),253.0
"Личные установки и ценности, мировоззрение (2043_4)",219.0
"Ответственность , добросовестность (СК) (614_4)",154.0
Токарные работы (3473_35),133.0
Работа на станках 16к20 (3524_35),122.0
Работа на станках ДИП (3523_35),77.0
Внимательность (СК) (536_4),60.0
Использование контрольно-измерительных инструментов (3479_35),58.0
Нарезание резьбы (3451_35),56.0
Выполнение расточки отверстий (3449_35),53.0
Аккуратность (СК) (575_4),51.0
Доводочные операции (3452_35),49.0
Дисциплинированность (СК) (593_4),48.0
Фрезерование (3469_35),33.0
Работа на токарно-расточных станках (3560_35),31.0
Токарная обработка крупногабаритных деталей (3475_35),25.0
Кропотливость (СК) (623_4),22.0
Высокая работоспособность (СК) (586_4),19.0
Работы на токарно-карусельных станках (3557_35),14.0
Подготовка станков к работе (3512_35),14.0
Соблюдение правил охраны труда (ОПТ) (3790_36),8.0
Технология механообработки (3506_35),8.0
Коммуникабельность (СК) (617_4),6.0
"Саморазвитие, обучаемость (СК) (604_4)",3.0
Трудолюбие (СК) (597_4),1.0
Работа на станках с ЧПУ (3542_35),0.0
Нравственность (СК) (622_4),0.0
