,0
"Ответственность , добросовестность (СК) (614_4)",733.0
Дисциплинированность (СК) (593_4),488.0
"Личные установки и ценности, мировоззрение (2043_4)",404.0
ЖКХа техническое обслуживание электротехнического оборудования (2792_29),355.0
ЖКХа общие фразы (2155_29),306.0
Выполнение ремонтных работ (ОПТ) (8285_36),242.0
ЖКХа ремонт электрооборудования (2558_29),225.0
"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",155.0
Коммуникабельность (СК) (617_4),118.0
Пунктуальность (СК) (612_4),113.0
ЖКХа монтаж электро оборудования (2503_29),109.0
Командность (СК) (1371_4),91.0
ЖКХ общепрофессиональные знания по электрике (2153_29),86.0
Склонность к здоровому образу жизни (СК) (1662_4),61.0
Аккуратность (СК) (575_4),60.0
Внимательность (СК) (536_4),49.0
Высокая работоспособность (СК) (586_4),39.0
Нравственность (СК) (622_4),31.0
ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),20.0
Трудолюбие (СК) (597_4),17.0
