,0
"Ответственность , добросовестность (СК) (614_4)",321.0
Дисциплинированность (СК) (593_4),219.0
Сборка несложных узлов и конструкций (3923_35),152.0
"Личные установки и ценности, мировоззрение (2043_4)",147.0
Чтение схем/чертежей (ОПТ) (3032_36),101.0
Сборка сложных узлов (3921_35),92.0
Командность (СК) (1371_4),53.0
Резка металла (3931_35),48.0
Высокая работоспособность (СК) (586_4),35.0
"Саморазвитие, обучаемость (СК) (604_4)",35.0
Разметка мест под установку деталей и узлов (3939_35),31.0
Установка крепежа (3941_35),30.0
Работать электроприхваткой (3928_35),30.0
Коммуникабельность (СК) (617_4),29.0
Испытания узлов и конструкций (3926_35),27.0
"Правка деталей, узлов и конструкций (3933_35)",27.0
Выполнение слесарных работ (3552_35),25.0
Внимательность (СК) (536_4),24.0
Аккуратность (СК) (575_4),23.0
Склонность к здоровому образу жизни (СК) (1662_4),21.0
Выполнение работ по сверлению и обработке отверстий (3558_35),19.0
Сборка узлов и конструкций средней сложности (3922_35),15.0
Умение работать с электроинструментом (3578_35),11.0
Разметка деталей (3649_35),7.0
Зачистка сварных швов (3799_35),6.0
Сварочные работы (3934_35),6.0
Опыт механосборки (3920_35),6.0
Изготовление узлов и конструкций (4081_35),3.0
