,0
Чтение схем/чертежей (ОПТ) (3032_36),260.0
Сборка несложных узлов и конструкций (3923_35),235.0
"Ответственность , добросовестность (СК) (614_4)",154.0
"Личные установки и ценности, мировоззрение (2043_4)",101.0
Дисциплинированность (СК) (593_4),85.0
Работать электроприхваткой (3928_35),79.0
Сборка сложных узлов (3921_35),72.0
Разметка мест под установку деталей и узлов (3939_35),67.0
"Правка деталей, узлов и конструкций (3933_35)",40.0
Зачистка сварных швов (3799_35),30.0
Коммуникабельность (СК) (617_4),26.0
Аккуратность (СК) (575_4),25.0
Внимательность (СК) (536_4),24.0
Командность (СК) (1371_4),23.0
Выполнение работ по сверлению и обработке отверстий (3558_35),22.0
Умение работать с электроинструментом (3578_35),21.0
Сварочные работы (3934_35),21.0
Опыт механосборки (3920_35),20.0
Резка металла (3931_35),20.0
Изготовление узлов и конструкций (4081_35),18.0
Склонность к здоровому образу жизни (СК) (1662_4),17.0
Выполнение слесарных работ (3552_35),15.0
Разметка деталей (3649_35),15.0
"Саморазвитие, обучаемость (СК) (604_4)",14.0
Испытания узлов и конструкций (3926_35),13.0
Высокая работоспособность (СК) (586_4),10.0
Сборка узлов и конструкций средней сложности (3922_35),7.0
Установка крепежа (3941_35),6.0
