,0
Выполнение комплекса геодезических работ (1410_10),28.0
Работы в строительной геодезии (1402_10),17.0
"Личные установки и ценности, мировоззрение (2043_4)",17.0
Знание AutoCAD (3072_10),14.0
Ведение исполнительной документации в строительстве (2958_10),12.0
Выполнение контрольно-исполнительной геодезической съемки (8417_10),10.0
Выполнение разбивочных работ (1446_10),9.0
Знания нормативных документов (4992_10),7.0
"Ответственность , добросовестность (СК) (614_4)",6.0
Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),5.0
Чтение схем/чертежей (ОПТ) (3032_36),5.0
Умение пользоваться геодезическими инструментами (4117_10),4.0
Составление топогеодезической документации (1440_10),4.0
Знание технологии работ в топогеодезии (1408_10),4.0
"Организаторские способности, лидерство (СК) (393_4)",3.0
Уверенный пользователь AutoCad (6976_10),3.0
Коммуникабельность (СК) (617_4),3.0
Составление и обновление топогеодезической документации (248_10),2.0
Внимательность (СК) (536_4),2.0
Дисциплинированность (СК) (593_4),2.0
Вынос в натуру объектов (1445_10),2.0
Использование тахеометра (1396_10),2.0
Знание тахеометра (1671_10),2.0
Выполнение топографо-геодезической съемки (247_10),2.0
Стрессоустойчивость (СК) (601_4),1.0
Командность (СК) (1371_4),1.0
Кропотливость (СК) (623_4),1.0
Использование геодезического оборудования (1377_10),1.0
Высокая работоспособность (СК) (586_4),0.0
Использование нивелира (1398_10),0.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",0.0
Знание базы нормативно-технического регулирования (8402_10),0.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),0.0
