,0
"Ответственность , добросовестность (СК) (614_4)",18.0
Монтаж систем отопления (2920_10),4.0
Высокая работоспособность (СК) (586_4),3.0
Монтаж систем водоснабжения (2918_10),2.0
Коммуникабельность (СК) (617_4),2.0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),2.0
"Саморазвитие, обучаемость (СК) (604_4)",2.0
Ремонт систем отопления (2921_10),2.0
Пунктуальность (СК) (612_4),2.0
Трудолюбие (СК) (597_4),1.0
Выполнение подготовительных работ при монтаже и ремонте санитарно-технических систем и оборудования (3116_10),1.0
Монтаж систем канализации/водоотведения (2919_10),1.0
Нравственность (СК) (622_4),1.0
Соблюдение правил охраны труда (ОПТ) (3790_36),0.0
"Монтаж водонагревателей, бойлеров (7484_10)",0.0
Командность (СК) (1371_4),0.0
Целеустремленность (СК) (588_4),0.0
"Установка грязевиков, баков, водяных фильтров (7485_10)",0.0
Пусконаладочные работы санитарно-технических систем и оборудования (2917_10),0.0
Присоединение к трубопроводам санитарных приборов (3104_10),0.0
Доброжелательность (СК) (1126_4),0.0
Сборка деталей и узлов санитарно-технических систем и оборудования (2908_10),0.0
Установка водоразборной арматуры (3110_10),0.0
Установка радиаторов (7482_10),0.0
