,0
"Личные установки и ценности, мировоззрение (2043_4)",11.0
Знание компьютерных программ (3753_35),10.0
Разработка и внедрение технологий и материалов (6364_35),10.0
Конструкторское сопровождение опытного и серийного производства (5518_35),9.0
Чтение схем/чертежей (ОПТ) (3032_36),8.0
"Ответственность , добросовестность (СК) (614_4)",7.0
Внимательность (СК) (536_4),6.0
Разработка технологической документации (6036_35),5.0
Разработка норм расхода материальных средств (6399_35),3.0
Разработка норм времени (6078_35),3.0
"Организаторские способности, лидерство (СК) (393_4)",2.0
Разработка рабочей конструкторской документации (5537_35),1.0
Составление и корректировка управляющих программ (3667_35),1.0
"Саморазвитие, обучаемость (СК) (604_4)",1.0
Контроль технологического процесса (4609_35),0.0
Разработка проектной документации (5541_35),0.0
Дисциплинированность (СК) (593_4),0.0
Английский язык (ЯС) (1918_32),0.0
Коммуникабельность (СК) (617_4),0.0
Соблюдение пожарной безопасности (ОПТ) (3792_36).1,0.0
Знание нормативной и методической документации (4566_35),0.0
"Решимость , решительность (СК) (608_4).1",0.0
Пунктуальность (СК) (612_4),0.0
Навыки руководящей работы (6700_35),0.0
