,0
Административные функции (61_3),123.0
"Личные установки и ценности, мировоззрение (2043_4)",66.0
"Ответственность , добросовестность (СК) (614_4)",64.0
"Контроль  сварки/резки, измерение (71_3)",49.0
"Знание техник, технологии сварки, наплавки (41_3)",41.0
Дисциплинированность (СК) (593_4),41.0
Руководство и контроль сварочного производства (999_3),33.0
"Организаторские способности, лидерство (СК) (393_4)",33.0
Коммуникабельность (СК) (617_4),26.0
"Чтение чертежей, документации (68_3)",26.0
Командность (СК) (1371_4),23.0
Технологическая подготовка сварочного производства (997_3),23.0
Сварка без конкретизации вида/оборудования (26_3),20.0
Чтение схем/чертежей (ОПТ) (3032_36),15.0
"Соблюдение охраны труда, техники безопасности и пожарной безопасности (69_3)",14.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",14.0
Соблюдение техники безопасности (ОПТ) (3791_36),13.0
Внимательность (СК) (536_4),10.0
Английский язык (ЯС) (1918_32),10.0
Инициативность (СК) (610_4),8.0
"Многозадачность, интенсивность (СК) (627_4)",8.0
Дефекты и нормы оценки (2754_3),7.0
"Знание НТД, НД, ПТД (2712_3)",7.0
Пунктуальность (СК) (612_4),7.0
Стрессоустойчивость (СК) (601_4),6.0
Обслуживание и ремонт сварочного оборудования (60_3),6.0
Китайский язык (ЯС) (1933_32),4.0
Разрешительная и исполнительная документация (2690_3),2.0
Выполнение ремонтных работ (ОПТ) (8285_36),1.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),1.0
