,0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),19.0
"Выполнение работ по регулировке, выправке и промерам (2998_23)",17.0
"Личные установки и ценности, мировоззрение (2043_4)",15.0
"Ответственность , добросовестность (СК) (614_4)",12.0
Выполнение работ по осмотру (2683_23),10.0
Выполнение ремонтных работ (ОПТ) (8285_36),8.0
Сборка и разборка промежуточных и стыковых рельсовых скреплений (Текущее содержаниеРЖД) (3755_23),6.0
Выполнение погрузо-разгрузочных работ (2986_23),6.0
Высокая работоспособность (СК) (586_4),5.0
Дисциплинированность (СК) (593_4),4.0
Выполнение работ по очистке (2992_23),4.0
Знания по выполнению работ по ремонту и текущему содержанию железнодорожного пути (РЖД) (1776_23),4.0
Командность (СК) (1371_4),1.0
Внимательность (СК) (536_4),1.0
Трудолюбие (СК) (597_4),1.0
Коммуникабельность (СК) (617_4),1.0
Пунктуальность (СК) (612_4),1.0
Выполнение работ по ремонту и текущему содержанию ВСП (РЖД) (замена ВСП) (2684_23),0.0
"Саморазвитие, обучаемость (СК) (604_4)",0.0
